Model,Load-1,Load-2,Load-3,Load-4,Load-5,Load-6,Load-7,Load-8,Load-9,Load-10,Load-11,Load-12,WorstLife
1,15036,18745,27314,9532,75130,56350,44413,17817,32414,75402,17460,16113,61620.348
2,52655,78171,30490,79115,72393,39619,73222,10226,37037,23837,75267,27201,75607.82
3,27491,43967,56743,36874,7995,11474,51483,66796,70502,16602,33996,26943,218319.953
4,61656,20446,44973,47080,20917,17815,52368,10202,16875,26838,204,74775,336870.156
5,15702,4334,52685,20165,14644,43554,29753,58306,4763,6189,1383,74332,104353.578
6,19209,64838,8068,16193,43257,13260,4927,69147,76149,56126,66037,25724,392483.688
7,56026,9922,21705,37881,10499,35143,68537,21255,52187,28328,45266,34539,316649.719
8,6736,37440,59699,11465,6749,65288,19689,76038,11869,48968,55247,70157,84102.477
9,69341,617,75807,72893,40640,53438,26066,10936,72845,46451,2294,78021,53117.246
10,11513,50618,12395,21340,24841,4213,54130,7514,65529,7167,34303,13624,1057459.5
11,10234,49185,4457,43868,61582,803,62606,1533,12074,12330,5030,13473,147398.047
12,64788,35988,36586,24215,66293,59270,31945,74452,16696,45399,45514,48867,271650.562
13,23685,49565,13564,60907,53048,39658,55502,63558,66336,44770,33866,48723,191595.094
14,14950,57706,33494,48700,47243,75957,71470,42124,41569,26250,34575,77177,431893
15,61528,33785,55492,26042,2639,38189,73306,37742,6838,10614,62460,67667,183477.562
16,39169,69050,59608,74114,42268,34170,59956,3256,66099,49083,58293,217,111934.875
17,14401,65684,1100,29870,41661,67770,9283,37299,44367,47409,61411,53511,489981.656
18,40889,56734,46025,5337,5671,63467,57891,55481,67716,34110,74705,35328,429877.625
19,31079,16546,22857,40794,55142,48288,26176,30347,8676,47488,33463,18946,740213.25
20,19266,73801,27367,50054,27092,12849,70059,63630,15178,30931,57828,61601,246559.969
21,72032,37916,57773,72595,48489,34576,11676,71175,43425,54498,43447,68482,115837.031
22,24010,15450,37259,49156,37566,55361,27556,55664,74362,38693,1940,79804,306096.75
23,78948,62585,52170,43405,21975,38264,41688,28976,56140,18501,65230,42066,837138.062
24,27744,76377,65131,70048,58691,16173,49406,68217,79486,45400,63782,79961,215206.609
25,30743,12086,77302,16976,7363,79240,26317,19150,4427,66964,25431,68416,12791.101
26,4184,60140,53992,16282,35095,30552,62796,52277,46725,77932,43071,9237,304397.406
27,24996,18655,59074,52113,6021,32234,71477,21240,41552,72069,55316,50986,172339.469
28,65512,71878,54736,68258,4140,78511,27382,24512,46478,13478,41890,41193,107931.055
29,7081,45639,4342,32066,49605,5804,17740,47341,4081,69107,45413,62248,282226.281
30,24533,39779,30791,7467,7513,39454,39539,3700,2079,70859,68479,7999,956532.5
31,78020,20538,61994,54766,18147,67522,49640,55712,23779,4722,65627,75204,219797.531
32,43752,37327,43002,21342,18723,45433,44509,62673,43762,26937,15881,62788,691940.5
33,75042,70942,3413,23169,816,31268,5024,62294,69393,9943,76433,47202,234458.297
34,58845,6913,31832,45124,50677,70241,43347,15318,70364,56455,19171,52285,880780.688
35,35205,42261,39312,62797,41961,26083,50633,28824,66662,5108,40036,27414,182574.594
36,41899,50078,52604,67675,49582,30873,50774,35627,75575,67989,21429,2930,196575.125
37,57475,32772,15643,79622,4435,3232,52253,10694,43007,53402,22378,30411,7245.136
38,48834,39295,37203,26994,56,76220,17519,1884,50272,29526,72092,78251,150485.703
39,76947,32681,15596,62447,74364,35854,9946,35030,43215,27153,3582,48678,109757.383
40,60835,12825,35549,61577,71386,3104,47842,46799,29518,25221,45893,78809,104887.039
41,29318,7555,20096,6803,53973,25390,3257,18691,55353,22341,62570,10553,146988.375
42,42216,54943,68663,38706,50653,78022,22431,69260,6433,55127,54703,34024,173977.328
43,56677,55462,3434,77864,38628,2237,43015,52324,14439,7881,22233,12063,16770.963
44,1235,51115,31274,2234,52664,17214,55634,13556,66990,20970,11642,72217,253491.719
45,54011,50732,15598,30551,39870,16249,55409,49075,72444,74430,26771,52788,1292398.5
46,46399,72439,7410,20746,69490,5470,9578,55962,21868,15999,50986,30784,40669.383
47,36311,16722,9208,77140,46781,15343,32153,68923,18744,28888,54039,30277,19552.713
48,73584,67020,73579,63228,65973,5669,37542,48972,46818,46587,45757,75710,145847.688
49,9007,77563,69095,76851,58144,27092,59876,54567,43081,42681,19090,25559,118736.773
50,25821,23375,40561,41440,23849,25792,58811,51518,68944,77724,12353,67919,567093
51,77482,15306,71746,11580,75696,37429,65073,24346,49474,13060,56483,7692,43345.203
52,48617,17040,47512,14811,64300,48839,54056,37010,21661,31435,70258,58390,245821.828
53,14676,14119,4240,4181,29354,58982,10311,63750,45736,35385,29433,36363,2142377.25
54,42115,17234,6750,51279,54413,46558,73641,23704,40777,37160,23444,20506,285383
55,53061,76979,4957,23211,31900,43654,22355,1814,35459,57680,32170,59879,105343.469
56,40871,69054,33799,78039,20879,58750,57477,7862,29268,40655,22999,45551,37898.016
57,39124,40958,20792,38754,6728,17774,57456,50223,36890,50260,47721,4554,285210.906
58,54805,34482,67529,30940,58501,16112,14153,69088,9182,20670,51665,26115,105685.273
59,16595,70751,22370,54229,47812,33898,17352,52147,52095,55149,36091,6225,376700.344
60,5044,29152,39426,52467,39106,78467,59806,42145,46094,61445,11160,14618,253088.828
61,5240,78174,29145,73715,746,66504,15394,55011,68540,8492,45127,13341,32492.432
62,43045,32941,39820,73084,38437,75910,39206,46727,78435,28216,66816,45644,86711.195
